full_equity,full_drawdown,fng_equity,fng_drawdown
1.29427631,-0.01636208,1.33251102,-0.06167508
1.28831271,-0.02089436,1.32637125,-0.06599857
1.28243048,-0.02536480,1.33110088,-0.06266807
1.29425800,-0.01637600,1.31882449,-0.07131283
1.28407433,-0.02411549,1.32920145,-0.06400560
1.27727276,-0.02928462,1.33624205,-0.05904777
1.27512006,-0.03092065,1.33849414,-0.05746190
1.27829090,-0.02851084,1.33516571,-0.05980571
1.27899378,-0.02797666,1.33456470,-0.06022892
1.29553707,-0.01540392,1.35182677,-0.04807335
1.30692105,-0.00675220,1.36370537,-0.03970870
1.30823186,-0.00575600,1.36507313,-0.03874556
1.31465323,-0.00087581,1.37177350,-0.03402730
1.31209819,-0.00281762,1.37306779,-0.03311590
1.31150466,-0.00326869,1.37368889,-0.03267853
1.33477929,0.00000000,1.34931071,-0.04984511
1.33514151,0.00000000,1.34894455,-0.05010295
1.32794972,-0.00538654,1.35621068,-0.04498630
1.32710328,-0.00602051,1.35399002,-0.04655004
1.32937993,-0.00431533,1.35631279,-0.04491439
1.34048312,0.00000000,1.36764093,-0.03693737
1.34776463,0.00000000,1.37506997,-0.03170600
1.34396398,-0.00281997,1.37757255,-0.02994374
1.33139074,-0.01214893,1.36330732,-0.03998900
1.33026848,-0.01298161,1.36215815,-0.04079822
1.33083434,-0.01256176,1.36273757,-0.04039020
1.33196620,-0.01172195,1.36389657,-0.03957406
1.33609889,-0.00865562,1.36812833,-0.03659415
1.33487822,-0.00956133,1.36687840,-0.03747433
1.33910039,-0.00642861,1.37120178,-0.03442989
1.34006266,-0.00571463,1.37218713,-0.03373604
1.33819268,-0.00710209,1.37027232,-0.03508440
1.33296909,-0.01097784,1.37425086,-0.03228280
1.33353084,-0.01056104,1.37367172,-0.03269062
1.33031167,-0.01294957,1.37698779,-0.03035551
1.33957270,-0.00607816,1.36740182,-0.03710574
1.34294355,-0.00357710,1.36396094,-0.03952873
1.33287868,-0.01104492,1.37418333,-0.03233035
1.35503603,0.00000000,1.35133935,-0.04841658
1.34687147,-0.00602534,1.35948163,-0.04268297
1.34080107,-0.01050523,1.36560887,-0.03836830
1.34810211,-0.00511714,1.35817274,-0.04360466
1.33960234,-0.01138987,1.36673600,-0.03757460
1.33824843,-0.01238904,1.36672140,-0.03758488
1.35208533,-0.00217758,1.38085269,-0.02763393
1.35028140,-0.00350885,1.37901039,-0.02893124
1.34714139,-0.00582614,1.37580357,-0.03118942
1.34190349,-0.00969165,1.37045423,-0.03495630
1.34473506,-0.00760199,1.37334604,-0.03291996
1.36486848,0.00000000,1.39390783,-0.01844080
1.36686162,0.00000000,1.39594338,-0.01700741
1.37587674,0.00000000,1.40515031,-0.01052409
1.37599422,0.00000000,1.40527029,-0.01043960
1.36736185,-0.00627355,1.39645425,-0.01664766
1.36829671,-0.00559415,1.39740900,-0.01597535
1.36605817,-0.00722100,1.39829776,-0.01534951
1.37407313,-0.00139615,1.39009364,-0.02112667
1.37117074,-0.00350546,1.39302987,-0.01905903
1.36856718,-0.00539759,1.39567494,-0.01719644
1.37198163,-0.00291614,1.39219286,-0.01964844
1.36760333,-0.00609806,1.39663565,-0.01651993
1.36346320,-0.00910689,1.40086367,-0.01354265
1.36599817,-0.00726461,1.39825917,-0.01537668
1.36045649,-0.01129201,1.39398487,-0.01838655
1.35959886,-0.01191528,1.39310611,-0.01900535
1.38318216,0.00000000,1.41727061,-0.00198924
1.37508469,-0.00585423,1.40897358,-0.00783183
1.38116738,-0.00145662,1.41520618,-0.00344296
1.38681004,0.00000000,1.42098791,0.00000000
1.38503570,-0.00127944,1.41916983,-0.00127944
1.39238041,0.00000000,1.42669555,0.00000000
1.42051493,0.00000000,1.45552345,0.00000000
1.41827449,-0.00157720,1.45322779,-0.00157720
1.42828701,0.00000000,1.44151529,-0.00962414
1.43121787,0.00000000,1.43855728,-0.01165640
1.44586594,0.00000000,1.42383410,-0.02177179
1.45077072,0.00000000,1.41900405,-0.02509021
1.44867344,-0.00144563,1.42105541,-0.02368086
1.44710176,-0.00252897,1.42259713,-0.02262164
1.45276201,0.00000000,1.41703273,-0.02644459
1.46849949,0.00000000,1.43380019,-0.01492470
1.46521765,-0.00223483,1.43059590,-0.01712618
1.47094669,0.00000000,1.43618956,-0.01328312
1.46294086,-0.00544264,1.42837291,-0.01865346
1.46027372,-0.00725585,1.42954865,-0.01784568
1.44823384,-0.01544097,1.44133520,-0.00974787
1.44403338,-0.01829659,1.44551565,-0.00687574
1.46420407,-0.00458386,1.46715256,0.00000000
1.47089543,-0.00003485,1.47385739,0.00000000
1.47126172,0.00000000,1.47422442,0.00000000
1.45190781,-0.01315463,1.45483154,-0.01315463
1.45973714,-0.00783313,1.44553161,-0.01946298
1.49259899,0.00000000,1.41298955,-0.04153700
1.49653367,0.00000000,1.41530138,-0.03996884
1.49210984,-0.00295605,1.41806978,-0.03809097
1.48363475,-0.00861919,1.42612432,-0.03262739
1.48379015,-0.00851536,1.42597495,-0.03272871
1.48317209,-0.00892835,1.42656892,-0.03232581
1.50490133,0.00000000,1.40566895,-0.04650273
1.50925711,0.00000000,1.40833184,-0.04469643
1.50402891,-0.00346409,1.40345326,-0.04800569
1.50290677,-0.00420759,1.40240616,-0.04871596
1.50077812,-0.00561799,1.40041985,-0.05006332
1.49649837,-0.00845366,1.39642629,-0.05277224
1.50029514,-0.00593800,1.39996917,-0.05036902
1.49885324,-0.00689337,1.39991468,-0.05040598
1.50257033,-0.00443051,1.39644296,-0.05276093
1.49868020,-0.00700802,1.40005832,-0.05030855
1.50126417,-0.00529594,1.40387231,-0.04772144
1.49592541,-0.00883328,1.39887989,-0.05110791
1.49670767,-0.00831498,1.39674950,-0.05255300
1.50528988,-0.00262860,1.38874046,-0.05798571
1.50740468,-0.00122738,1.38678940,-0.05930916
1.53442850,0.00000000,1.36192790,-0.07617329
1.53593307,0.00000000,1.36059247,-0.07707914
1.53094412,-0.00324816,1.35753364,-0.07915401
1.51353907,-0.01458006,1.37160969,-0.06960591
1.51134292,-0.01600991,1.37359990,-0.06825590
1.51247301,-0.01527415,1.37257281,-0.06895260
1.53102654,-0.00319450,1.38803761,-0.05846247
1.52878598,-0.00465326,1.38600631,-0.05984035
1.52174758,-0.00923575,1.37962525,-0.06416877
1.54460896,0.00000000,1.40035151,-0.05010968
1.55351102,0.00000000,1.40842217,-0.04463516
1.55707906,0.00000000,1.40377894,-0.04778477
1.54809731,-0.00576833,1.41187640,-0.04229208
1.54858530,-0.00545493,1.41143135,-0.04259397
1.54617813,-0.00700088,1.40782594,-0.04503960
1.55043811,-0.00426500,1.40253932,-0.04862564
1.56145741,0.00000000,1.41391000,-0.04091264
1.56138335,-0.00004743,1.41256316,-0.04182624
1.55705110,-0.00282192,1.41648248,-0.03916767
1.55629482,-0.00330626,1.41433753,-0.04062264
1.54449268,-0.01086468,1.40502626,-0.04693869
1.54782323,-0.00873170,1.40059142,-0.04994694
1.53804224,-0.01499572,1.39314141,-0.05500045
1.53231104,-0.01866613,1.39693952,-0.05242411
1.53661409,-0.01591034,1.40225935,-0.04881554
1.53886560,-0.01446841,1.40431400,-0.04742183
1.52828632,-0.02124367,1.39465972,-0.05397055
1.58243239,0.00000000,1.44407151,-0.02045341
1.58630369,0.00000000,1.44760431,-0.01805703
1.59010932,0.00000000,1.45107719,-0.01570129
