CNN-Transformer_equity,CNN-Transformer_drawdown,XGBoost_equity,XGBoost_drawdown,Transformer_equity,Transformer_drawdown,PatchTST_equity,PatchTST_drawdown,LSTM-Transformer_equity,LSTM-Transformer_drawdown,LSTM_equity,LSTM_drawdown,TimeMixer_equity,TimeMixer_drawdown,ModernTCN_equity,ModernTCN_drawdown,TCN_equity,TCN_drawdown,DLinear_equity,DLinear_drawdown
1.08493060,-0.02331549,1.10591755,-0.00768379,1.06123634,-0.00768379,1.05520634,-0.02104896,1.05888921,-0.04263940,1.04218478,-0.00768379,1.07466595,-0.02104896,0.93442577,-0.08294308,1.03480950,-0.01803463,0.93168437,-0.08577873
1.08989528,-0.01884615,1.11208419,-0.00215060,1.06715383,-0.00215060,1.06109021,-0.01559030,1.06479361,-0.03730112,1.04799604,-0.00215060,1.08065832,-0.01559030,0.93870173,-0.07874660,1.02800456,-0.02449207,0.93687947,-0.08068100
1.08885257,-0.01978483,1.11203604,-0.00219380,1.06710763,-0.00219380,1.06104427,-0.01563292,1.06474752,-0.03734280,1.04795067,-0.00219380,1.08061153,-0.01563292,0.93866109,-0.07878648,1.02693205,-0.02550981,0.93598315,-0.08156052
1.09069788,-0.01812362,1.11503268,0.00000000,1.06998320,0.00000000,1.06390350,-0.01298031,1.06761673,-0.03474869,1.05077462,0.00000000,1.08352350,-0.01298031,0.94119054,-0.07630405,1.02969936,-0.02288381,0.93346092,-0.08403547
1.09492282,-0.01432022,1.11935189,0.00000000,1.07412790,0.00000000,1.06802465,-0.00915698,1.07175226,-0.03100969,1.05484491,0.00000000,1.08772064,-0.00915698,0.94483634,-0.07272601,1.03368801,-0.01909885,0.92984506,-0.08758356
1.09666198,-0.01275458,1.12112985,0.00000000,1.07583402,0.00000000,1.06972108,-0.00758314,1.07345461,-0.02947056,1.05652041,0.00000000,1.08944836,-0.00758314,0.94633710,-0.07125315,1.03532991,-0.01754080,0.93039216,-0.08704671
1.09485814,-0.01437845,1.11928576,-0.00164485,1.07406444,-0.00164485,1.06796156,-0.00921552,1.07168895,-0.03106693,1.05478259,-0.00164485,1.08765639,-0.00921552,0.94478052,-0.07278079,1.03362695,-0.01915679,0.92886181,-0.08854838
1.09402220,-0.01513098,1.11843117,-0.00240711,1.07324438,-0.00240711,1.06714615,-0.00997200,1.07087069,-0.03180673,1.05397725,-0.00240711,1.08682594,-0.00997200,0.94405917,-0.07348874,1.03283776,-0.01990568,0.92864215,-0.08876392
1.09355387,-0.01555258,1.11795239,-0.00283415,1.07278495,-0.00283415,1.06668933,-0.01039580,1.07041228,-0.03222118,1.05352607,-0.00283415,1.08636070,-0.01039580,0.94351924,-0.07401864,1.03239563,-0.02032524,0.92903968,-0.08837384
1.09625014,-0.01312533,1.12070882,-0.00037554,1.07543000,-0.00037554,1.06931936,-0.00795584,1.07305149,-0.02983503,1.05612364,-0.00037554,1.08903923,-0.00795584,0.94490206,-0.07266152,1.03494110,-0.01790975,0.93040128,-0.08703777
